Title,Cast,Director,Headline,Runtime (Min),Genres,Production Company,Release Date,Category,Name,Winner
Before Sunset,Ethan Hawke|Julie Delpy|Vernon Dobtcheff|Louise Lemoine Torr̬s|Mariane Plasteig,Richard Linklater,What if you had a second chance with the one that got away?,80,Drama|Romance,Castle Rock Entertainment|Detour Film Production|Warner Independent Pictures (WIP),2/10/04,WRITING (Adapted Screenplay),Screenplay by Richard Linklater & Julie Delpy & Ethan Hawke; Story by Richard Linklater & Kim Krizan,False
Million Dollar Baby,Clint Eastwood|Hilary Swank|Morgan Freeman|Jay Baruchel|Mike Colter,Clint Eastwood,"Beyond his silence, there is a past. Beyond her dreams, there is a feeling. Beyond hope, there is a memory. Beyond their journey, there is a love.",132,Drama,Lakeshore Entertainment|Malpaso Productions|Epsilon Motion Pictures|Warner Bros.|Albert S. Ruddy Productions,12/14/04,WRITING (Adapted Screenplay),Screenplay by Paul Haggis,False
Sideways,Paul Giamatti|Thomas Haden Church|Virginia Madsen|Sandra Oh|Marylouise Burke,Alexander Payne,In search of wine. In search of women. In search of themselves.,126,Comedy|Drama|Romance,Fox Searchlight Pictures|Michael London Productions|Sideways Productions Inc.,10/22/04,WRITING (Adapted Screenplay),Screenplay by Alexander Payne & Jim Taylor,True
Eternal Sunshine of the Spotless Mind,Jim Carrey|Kate Winslet|Elijah Wood|Mark Ruffalo|Kirsten Dunst,Michel Gondry,I already forget how I used to feel about you.,108,Science Fiction|Drama|Romance,Anonymous Content|This Is That Productions|Focus Features,3/19/04,WRITING (Original Screenplay),Screenplay by Charlie Kaufman; Story by Charlie Kaufman & Michel Gondry & Pierre Bismuth,True
Hotel Rwanda,Don Cheadle|Sophie Okonedo|Nick Nolte|Fana Mokoena|Joaquin Phoenix,Terry George,"When the world closed its eyes, he opened his arms.",121,Drama|History|War,Lions Gate Films|United Artists|Industrial Development Corporation of South Africa|Endgame Entertainment|Miracle Pictures,9/11/04,WRITING (Original Screenplay),Written by Keir Pearson & Terry George,False
The Incredibles,Craig T. Nelson|Holly Hunter|Samuel L. Jackson|Jason Lee|Dominique Louis,Brad Bird,"No gut, no glory",115,Action|Adventure|Animation|Family|Science Fiction,Walt Disney Pictures|Pixar Animation Studios,11/5/04,WRITING (Original Screenplay),Written by Brad Bird,False
Capote,Philip Seymour Hoffman|Allie Mickelson|Craig Archibald|Bronwen Coleman|Kate Shindle,Bennett Miller,In Cold Blood,114,Crime|Drama,Sony Pictures Classics|Cooper's Town Productions|Eagle Vision Inc.|Manitoba Film and Video Production Tax Credit|Province of British Columbia Production Services Tax Credit,9/30/05,ACTOR IN A LEADING ROLE,Philip Seymour Hoffman,True
Brokeback Mountain,Heath Ledger|Jake Gyllenhaal|Randy Quaid|Michelle Williams|Anne Hathaway,Ang Lee,Love is a force of nature.,134,Drama|Romance,River Road Entertainment|Alberta Film Entertainment|Focus Features|Good Machine,9/2/05,ACTOR IN A LEADING ROLE,Heath Ledger,False
"Good Night, and Good Luck.",David Strathairn|Jeff Daniels|Alex Borstein|Rose Abdoo|Dianne Reeves,George Clooney,They took on the Government with nothing but the truth.,93,Drama|History,Warner Independent Pictures (WIP)|Section Eight Productions,9/16/05,ACTOR IN A LEADING ROLE,David Strathairn,False
Syriana,George Clooney|Matt Damon|Jeffrey Wright|Chris Cooper|Amanda Peet,Stephen Gaghan,Everything is connected.,128,Drama|Thriller,Section Eight|Warner Bros.|Participant Media|FilmWorks|4M,11/23/05,ACTOR IN A SUPPORTING ROLE,George Clooney,True
Crash,Sandra Bullock|Don Cheadle|Matt Dillon|Michael Pe̱a|Jennifer Esposito,Paul Haggis,You think you know who you are. You have no idea.,112,Drama,Blackfriars Bridge Films|Yari Film Group|Bob Yari Productions|ApolloProScreen Filmproduktion|Bull's Eye Entertainment,5/28/04,ACTOR IN A SUPPORTING ROLE,Matt Dillon,False
Cinderella Man,Russell Crowe|Ren̩e Zellweger|Paul Giamatti|Craig Bierko|Paddy Considine,Ron Howard,One man's extraordinary fight to save the family he loved.,144,Romance|Drama|History,Miramax Films|Imagine Entertainment|Universal Pictures|Parkway Pictures (I)|Touchstone Pictures,6/2/05,ACTOR IN A SUPPORTING ROLE,Paul Giamatti,False
Brokeback Mountain,Heath Ledger|Jake Gyllenhaal|Randy Quaid|Michelle Williams|Anne Hathaway,Ang Lee,Love is a force of nature.,134,Drama|Romance,River Road Entertainment|Alberta Film Entertainment|Focus Features|Good Machine,9/2/05,ACTOR IN A SUPPORTING ROLE,Jake Gyllenhaal,False
Transamerica,Felicity Huffman|Kevin Zegers|Elizabeth Pe̱a|Danny Burstein|Maurice Orozco,Duncan Tucker,Life is a Journey. Bring an Open Mind.,103,Drama,IFC Films|The Weinstein Company,12/23/05,ACTRESS IN A LEADING ROLE,Felicity Huffman,False
Pride & Prejudice,Keira Knightley|Matthew Macfadyen|Rosamund Pike|Simon Woods|Donald Sutherland,Joe Wright,A romance ahead of its time.,128,Drama|Romance,Universal Pictures|StudioCanal|Scion Films|Focus Features|Working Title Films,9/16/05,ACTRESS IN A LEADING ROLE,Keira Knightley,False
North Country,Charlize Theron|Elle Peterson|Thomas Curtis|Frances McDormand|Sean Bean,Niki Caro,All She Wanted Was To Make A Living. Instead She Made History.,126,Drama,Warner Bros.|Participant Media|Nick Wechsler Productions,2/12/05,ACTRESS IN A LEADING ROLE,Charlize Theron,False
Capote,Philip Seymour Hoffman|Allie Mickelson|Craig Archibald|Bronwen Coleman|Kate Shindle,Bennett Miller,In Cold Blood,114,Crime|Drama,Sony Pictures Classics|Cooper's Town Productions|Eagle Vision Inc.|Manitoba Film and Video Production Tax Credit|Province of British Columbia Production Services Tax Credit,9/30/05,ACTRESS IN A SUPPORTING ROLE,Catherine Keener,False
North Country,Charlize Theron|Elle Peterson|Thomas Curtis|Frances McDormand|Sean Bean,Niki Caro,All She Wanted Was To Make A Living. Instead She Made History.,126,Drama,Warner Bros.|Participant Media|Nick Wechsler Productions,2/12/05,ACTRESS IN A SUPPORTING ROLE,Frances McDormand,False
Brokeback Mountain,Heath Ledger|Jake Gyllenhaal|Randy Quaid|Michelle Williams|Anne Hathaway,Ang Lee,Love is a force of nature.,134,Drama|Romance,River Road Entertainment|Alberta Film Entertainment|Focus Features|Good Machine,9/2/05,ACTRESS IN A SUPPORTING ROLE,Michelle Williams,False
"Good Night, and Good Luck.",David Strathairn|Jeff Daniels|Alex Borstein|Rose Abdoo|Dianne Reeves,George Clooney,They took on the Government with nothing but the truth.,93,Drama|History,Warner Independent Pictures (WIP)|Section Eight Productions,9/16/05,ART DIRECTION,Art Direction:  Jim Bissell; Set Decoration:  Jan Pascale,False
Harry Potter and the Goblet of Fire,Daniel Radcliffe|Rupert Grint|Emma Watson|Ralph Fiennes|Michael Gambon,Mike Newell,Dark And Difficult Times Lie Ahead.,157,Adventure|Fantasy|Family,Patalex IV Productions Limited|Warner Bros.|Heyday Films,11/5/05,ART DIRECTION,Art Direction:  Stuart Craig; Set Decoration:  Stephenie McMillan,False
Memoirs of a Geisha,Zhang Ziyi|Gong Li|Youki Kudoh|Tsai Chin|Suzuka Ohgo,Rob Marshall,"My world is as forbidden as it is fragile; without its mysteries, it cannot survive.",145,Drama|History|Romance,DreamWorks SKG|Spyglass Entertainment|Columbia Pictures Corporation|Red Wagon Productions,12/6/05,ART DIRECTION,Art Direction:  John Myhre; Set Decoration:  Gretchen Rau,True
Pride & Prejudice,Keira Knightley|Matthew Macfadyen|Rosamund Pike|Simon Woods|Donald Sutherland,Joe Wright,A romance ahead of its time.,128,Drama|Romance,Universal Pictures|StudioCanal|Scion Films|Focus Features|Working Title Films,9/16/05,ART DIRECTION,Art Direction:  Sarah Greenwood; Set Decoration:  Katie Spencer,False
Batman Begins,Christian Bale|Michael Caine|Liam Neeson|Katie Holmes|Gary Oldman,Christopher Nolan,Evil fears the knight.,140,Action|Crime|Drama,DC Comics|Legendary Pictures|Warner Bros.|DC Entertainment|Syncopy,6/14/05,CINEMATOGRAPHY,Wally Pfister,False
Brokeback Mountain,Heath Ledger|Jake Gyllenhaal|Randy Quaid|Michelle Williams|Anne Hathaway,Ang Lee,Love is a force of nature.,134,Drama|Romance,River Road Entertainment|Alberta Film Entertainment|Focus Features|Good Machine,9/2/05,CINEMATOGRAPHY,Rodrigo Prieto,False
"Good Night, and Good Luck.",David Strathairn|Jeff Daniels|Alex Borstein|Rose Abdoo|Dianne Reeves,George Clooney,They took on the Government with nothing but the truth.,93,Drama|History,Warner Independent Pictures (WIP)|Section Eight Productions,9/16/05,CINEMATOGRAPHY,Robert Elswit,False
